[2019-09-14] [Error] Class 'System\Helpers\Libray' not found - W:\gridfyx\application\views\pages\index.php --> Line 7
[2019-09-14] [Error] Call to undefined function System\Core\base_url() - W:\gridfyx2.0-node-env\dist\application\views\pages\index.php --> Line 50
[2019-09-14] [Error] Call to undefined function System\Core\base_url() - W:\gridfyx2.0-node-env\dist\application\views\pages\index.php --> Line 50
[2019-09-14] [Error] Call to undefined function System\Core\base_url() - W:\gridfyx2.0-node-env\dist\application\views\pages\index.php --> Line 50
[2019-09-14] [Error] Call to undefined function System\Core\base_url() - W:\gridfyx2.0-node-env\dist\application\views\pages\index.php --> Line 50
[2019-09-14] [Error] Call to undefined function System\Core\base_url() - W:\gridfyx2.0-node-env\dist\application\views\pages\index.php --> Line 50
[2019-09-14] [Error] Call to undefined function System\Core\base_url() - W:\gridfyx2.0-node-env\dist\application\views\pages\index.php --> Line 50
[2019-09-14] [Error] Call to undefined function System\Core\base_url() - W:\gridfyx2.0-node-env\dist\application\views\pages\index.php --> Line 50
[2019-09-14] [Error] Call to undefined function System\Core\base_url() - W:\gridfyx2.0-node-env\dist\application\views\pages\index.php --> Line 50
[2019-09-14] [Error] Call to undefined function System\Core\base_url() - W:\gridfyx2.0-node-env\dist\application\views\pages\index.php --> Line 50
[2019-09-14] [Error] Call to undefined function System\Core\base_url() - W:\gridfyx2.0-node-env\dist\application\views\pages\index.php --> Line 50
[2019-09-14] [Error] Call to undefined function System\Core\base_url() - W:\gridfyx2.0-node-env\dist\application\views\pages\index.php --> Line 50
[2019-09-14] [Error] Call to undefined function System\Core\base_url() - W:\gridfyx2.0-node-env\dist\application\views\pages\index.php --> Line 50
[2019-09-14] [Error] Call to undefined function System\Core\base_url() - W:\gridfyx2.0-node-env\dist\application\views\pages\index.php --> Line 50
[2019-09-14] [Error] Call to undefined function System\Core\base_url() - W:\gridfyx2.0-node-env\dist\application\views\pages\index.php --> Line 50
[2019-09-14] [Error] Call to undefined function System\Core\base_url() - W:\gridfyx2.0-node-env\dist\application\views\pages\index.php --> Line 50
[2019-09-14] [Error] Call to undefined function System\Core\base_url() - W:\gridfyx2.0-node-env\dist\application\views\pages\index.php --> Line 50
[2019-09-14] [Error] Call to undefined function System\Core\base_url() - W:\gridfyx2.0-node-env\dist\application\views\pages\index.php --> Line 50
